Country.Region,PSCR,Province.State,Date,Lat,Long,confirmed,recovered,deaths,population,Region,imputed,recovered_imputed,active,active_imputed,new_confirmed,new_active_rate,net_active,net_active_imputed,new_recovered,new_recovered_imputed,new_deaths,confirmed_p_M,active_p_M,active_imputed_p_M,recovered_p_M,recovered_imputed_p_M,deaths_p_M,new_confirmed_p_M,net_active_p_M,new_recovered_p_M,net_active_imputed_p_M,new_recovered_imputed_p_M,new_deaths_p_M,recovered_per_confirmed,recovered_imputed_per_confirmed,deaths_per_confirmed,recovered_per_deaths,recovered_imputed_per_deaths,doublingDays,confirmed_sim,recovered_sim,active_sim,deaths_sim,day_1,day_20,day_100,day_400,day_1000,day_2000,day_5000,day_10000,day_50000,day_1e+05,day_5e+05,day_1e+06
North America,North America,North America,2020-05-01,16.610405545454544,-74.5783499090909,1143278,180057,67641,541348571,North America,FALSE,180057,895580,895580,31166.4,3.48,15683.8,15683.8,13476.800000000001,13476.800000000001,2005.8000000000002,2111.907301959055,1654.3499844206663,1654.3499844206663,332.6082484477455,332.6082484477455,124.94906909064326,57.5717784613862,28.97172143823762,24.894865751848457,28.97172143823762,24.894865751848457,3.7051912713001327,0.15749187861569977,0.15749187861569977,0.05916408782465857,2.6619505920965096,2.6619505920965096,2.439,478502843,15829,465449112,13037902,101,68,61,56,52,50,46,44,39,36,22,5
North America,North America,North America,2020-05-02,16.610405545454544,-74.5783499090909,1174753,191638,69179,541348571,North America,FALSE,191638,913936,913936,30221,3.31,14562.8,14562.8,13935.6,13935.6,1722.6000000000001,2170.049138265851,1688.2578969622882,1688.2578969622882,354.00111917908805,354.00111917908805,127.79012212447495,55.825399047742195,26.90096691878032,25.74237884152464,26.90096691878032,25.74237884152464,3.1820532874372365,0.16313046231846184,0.16313046231846184,0.058888123716219494,2.7701759204382834,2.7701759204382834,2.439,496704136,21028,481438438,15244670,102,69,62,57,53,51,47,45,40,37,23,6
North America,North America,North America,2020-05-03,16.610405545454544,-74.5783499090909,1202173,197704,70603,541348571,North America,FALSE,197704,933866,933866,29077.6,3.11,18778.4,18778.4,8532.2,8532.2,1767,2220.7004218729157,1725.0733631289108,1725.0733631289108,365.2064687910666,365.2064687910666,130.42058995293812,53.71326638266863,34.688186144671654,15.761009554784621,34.688186144671654,15.761009554784621,3.2640706832123514,0.16445553177454492,0.16445553177454492,0.05872948402600957,2.8002209537838336,2.8002209537838336,2.439,510131496,27881,492685179,17418436,103,70,63,58,54,52,48,46,41,38,24,7
North America,North America,North America,2020-05-04,16.610405545454544,-74.5783499090909,1226582,205007,71985,541348571,North America,FALSE,205007,949590,949590,27319.2,2.88,18913.4,18913.4,6532.800000000001,6532.800000000001,1873,2265.7896699241496,1754.1193435606206,1754.1193435606206,378.69685260515814,378.69685260515814,132.97347375837074,50.46508195179109,34.937563361555455,12.067640610803425,34.937563361555455,12.067640610803425,3.4598779794322208,0.16713680781227835,0.16713680781227835,0.058687474624607244,2.847912759602695,2.847912759602695,2.439,519783194,36935,500299329,19446930,104,71,64,59,55,53,49,47,42,39,25,8
North America,North America,North America,2020-05-05,16.610405545454544,-74.5783499090909,1252446,211446,74393,541348571,North America,FALSE,211446,966607,966607,27121.6,2.81,19765.2,19765.2,5292.200000000001,5292.200000000001,2064.2000000000003,2313.5666502017975,1785.5538035584839,1785.5538035584839,390.59122223119346,390.59122223119346,137.42162441212022,50.10006759581896,36.511041238160026,9.77595634957352,36.511041238160026,9.77595634957352,3.813070008085419,0.16882644042138345,0.16882644042138345,0.059398169661606166,2.8422835481832966,2.8422835481832966,2.439,526572798,48708,505287170,21236920,105,72,65,60,56,54,50,48,43,40,26,9
North America,North America,North America,2020-05-06,16.610405545454544,-74.5783499090909,1279874,212721,77006,541348571,North America,FALSE,212721,990147,990147,27544.800000000003,2.78,19971.4,19971.4,5447.000000000001,5447.000000000001,2126.4,2364.2327117180107,1829.0378012284436,1829.0378012284436,392.9464515017626,392.9464515017626,142.24845898780436,50.881818989783575,36.89194184646698,10.061908891600272,36.89194184646698,10.061908891600272,3.9279682517163232,0.1662046420194488,0.1662046420194488,0.06016686017529851,2.7623951380411915,2.7623951380411915,2.439,531286364,64596,508488153,22733615,106,73,66,61,57,55,51,49,44,41,27,10
North America,North America,North America,2020-05-07,16.610405545454544,-74.5783499090909,1310361,218099,79500,541348571,North America,FALSE,218099,1012762,1012762,28357.2,2.8,18339.600000000002,18339.600000000002,7803.4000000000005,7803.4000000000005,2214.2,2420.549476244946,1870.8131031530884,1870.8131031530884,402.88090092695563,402.88090092695563,146.85547216490204,52.38251566383095,33.87761782786715,14.41474203134084,33.87761782786715,14.41474203134084,4.09015580462297,0.16644191944052059,0.16644191944052059,0.0606703038323027,2.7433836477987423,2.7433836477987423,2.439,534525116,85599,510514375,23925142,107,74,67,62,58,56,52,50,45,42,28,11
North America,North America,North America,2020-05-08,16.610405545454544,-74.5783499090909,1339897,224939,81235,541348571,North America,FALSE,224939,1033723,1033723,27644.800000000003,2.67,18396.8,18396.8,7343,7343,1905,2475.1095168218335,1909.5330723612458,1909.5330723612458,415.51601324906795,415.51601324906795,150.06043121151973,51.06654285414194,33.98327987828013,13.564273359834916,33.98327987828013,13.564273359834916,3.5189896160268983,0.1678778294152461,0.1678778294152461,0.060627794524504494,2.7689911983750846,2.7689911983750846,2.439,536737899,113645,511789047,24835207,108,75,68,63,59,57,53,51,46,43,29,12
North America,North America,North America,2020-05-09,16.610405545454544,-74.5783499090909,1368368,244024,83056,541348571,North America,FALSE,244024,1041288,1041288,26298.600000000006,2.53,13964,13964,10695.4,10695.4,1639.2,2527.7022482433044,1923.5074326999563,1923.5074326999563,450.7705627618624,450.7705627618624,153.4242527814856,48.57979019214961,25.79484041900242,19.756956188584823,25.79484041900242,19.756956188584823,3.0279935845623576,0.17833214456929714,0.17833214456929714,0.06069712241151503,2.9380658832594877,2.9380658832594877,2.439,538239316,150867,512581874,25506575,109,76,69,64,60,58,54,52,47,44,30,13
North America,North America,North America,2020-05-10,16.610405545454544,-74.5783499090909,1390670,248161,83918,541348571,North America,FALSE,248161,1058591,1058591,25014.4,2.36,13408.8,13408.8,10055,10055,1550.6,2568.8993644725074,1955.4702029498847,1955.4702029498847,458.412589030368,458.412589030368,155.0165724922547,46.20756632605944,24.76925352408476,18.57398456123384,24.76925352408476,18.57398456123384,2.864328240740844,0.1784470794652937,0.1784470794652937,0.06034357539890844,2.957184394289664,2.957184394289664,2.439,539257345,200308,513067877,25989160,110,77,70,65,61,59,55,53,48,45,31,14
